vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract,:@computed_region_x4ys_rtnd,:@computed_region_fny7_vc3j,:@computed_region_8ddd_yn5v
5YJ3E1EA5L,Yakima,Yakima,WA,98908,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,14,102765120,"{'type': 'Point', 'coordinates': [-120.60272, 46.59656]}",PACIFICORP,53077001000,2746,4,20
5YJ3E1EA9K,Thurston,Olympia,WA,98502,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,22,326796641,"{'type': 'Point', 'coordinates': [-122.92018, 47.04575]}",PUGET SOUND ENERGY INC,53067011100,2742,10,28
5YJSA1H22F,Kitsap,Kingston,WA,98346,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,23,166294418,"{'type': 'Point', 'coordinates': [-122.4977, 47.79802]}",PUGET SOUND ENERGY INC,53035090102,848,6,29
KM8K33AG7L,King,Seattle,WA,98107,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,43,127090015,"{'type': 'Point', 'coordinates': [-122.38591, 47.67597]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003400,3009,7,31
5YJ3E1EB1K,Yakima,Yakima,WA,98902,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,14,272512824,"{'type': 'Point', 'coordinates': [-120.51904, 46.59782]}",PACIFICORP,53077001202,2746,4,20
JN1AZ0CP6B,Kitsap,Port Orchard,WA,98366,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,26,294761365,"{'type': 'Point', 'coordinates': [-122.63848, 47.5414]}",PUGET SOUND ENERGY INC,53035092200,848,6,33
1N4BZ0CP5G,Yakima,Toppenish,WA,98948,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,15,262212856,"{'type': 'Point', 'coordinates': [-120.31298, 46.37508]}",PACIFICORP,53077940006,2746,4,22
3C3CFFGE9H,Thurston,Olympia,WA,98501,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,22,102382829,"{'type': 'Point', 'coordinates': [-122.89165, 47.03954]}",PUGET SOUND ENERGY INC,53067010300,2742,10,28
7SAYGDEE0P,Yakima,Yakima,WA,98901,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,15,238311293,"{'type': 'Point', 'coordinates': [-120.50729, 46.60464]}",PACIFICORP,53077001502,2746,4,20
5YJ3E1EB6L,Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,23,6335647,"{'type': 'Point', 'coordinates': [-122.69275, 47.65171]}",PUGET SOUND ENERGY INC,53035091302,848,6,29
